"Year1Jan","dax30"
1969,555.62
1970,622.38
1971,443.86
1972,471.16
1973,536.36
1974,396.25
1975,401.79
1976,563.25
1977,515.27
1978,551.46
1979,575.15
1980,497.79
1981,480.92
1982,490.39
1983,561.09
1984,786.67
1985,820.91
1986,1366.23
1987,1432.25
1988,1000
1989,1333.52
1990,1790.37
1991,1398.23
1992,1577.98
1993,1545.05
1994,2267.98
1995,2079.45
1996,2253.88
1997,2888.69
1998,4249.69
1999,5002.39
2000,6750.76
2001,6433.61
2002,5160.1
2003,2892.63
2004,3965.16
2005,4291.53
2006,5449.98
2007,6596.92
2008,8067.32
2009,4810.2
2010,5957.43
2011,6989.74
