dax;ftse
4992,75;5340,79
5005,93;5359,31
4989,98;5375,10
4901,88;5338,01
4911,17;5347,44
4905,98;5383,45
4986,50;5407,90
4926,13;5429,68
4962,86;5416,36
4875,22;5369,68
4849,01;5385,73
4882,58;5413,56
4998,16;5453,08
4965,88;5447,31
5048,74;5494,79
5021,17;5478,22
5044,12;5477,71
5082,07;5501,55
5138,02;5494,43
5069,42;5427,82
5017,27;5372,37
5007,77;5362,30
5022,79;5374,55
5032,46;5380,67
4981,77;5342,16
4950,07;5265,22
4975,56;5275,00
4978,83;5286,53
4947,18;5263,93
4845,98;5167,85
4864,25;5164,07
4838,40;5142,12
4901,79;5207,60
4872,97;5182,12
4900,79;5227,81
4806,05;5182,75
4825,64;5213,40
4929,07;5317,28
4922,55;5344,33
4954,83;5358,63
5011,00;5431,93
4995,24;5423,56
5024,20;5460,80
5008,83;5460,91
5011,38;5439,81
5015,55;5423,50
5090,75;5465,06
5092,43;5470,00
5110,61;5439,60
5081,46;5429,95
5099,72;5460,02
5123,50;5498,90
5170,61;5497,94
5174,72;5517,21
5196,08;5531,71
5187,98;5511,01
5194,27;5523,84
5176,59;5477,37
5199,48;5490,99
5193,40;5423,17
5266,55;5486,12
5307,99;5528,08
5266,86;5510,39
5300,85;5538,77
5266,75;5528,84
5286,75;5531,11
5282,13;5517,42
5301,21;5501,48
5310,28;5507,24
5286,76;5521,13
5295,82;5495,34
5353,66;5531,63
5350,18;5539,78
5356,60;5547,94
5397,23;5587,38
5398,28;5596,98
5419,05;5595,45
5419,05;5595,45
5444,84;5595,45
5447,15;5622,79
5458,58;5638,32
5408,26;5618,76
5449,98;5618,76
5460,68;5681,46
5523,62;5714,58
5516,53;5691,18
5536,32;5731,78
5537,11;5731,46
5494,71;5688,83
5532,89;5731,54
5542,13;5735,15
5483,09;5711,03
5514,64;5740,24
5460,16;5698,96
5395,61;5663,65
5430,84;5693,19
5349,02;5672,36
5348,72;5660,94
5334,30;5633,80
5427,09;5704,39
5548,91;5722,61
5647,42;5786,84
5660,03;5779,84
5674,15;5760,26
5726,53;5801,63
5649,60;5747,27
5657,12;5759,32
5666,78;5772,36
5672,92;5746,79
5666,41;5725,09
5743,68;5808,75
5701,47;5764,11
5756,33;5793,51
5763,40;5792,29
5764,37;5791,46
5789,25;5828,88
5795,48;5846,17
5793,95;5862,96
5801,04;5857,66
5862,06;5872,39
5857,88;5836,04
5870,79;5860,49
5915,15;5875,86
5796,04;5791,54
5866,61;5844,07
5783,49;5832,98
5721,46;5858,69
5754,06;5897,82
5739,28;5857,37
5673,36;5812,94
5732,22;5855,89
5804,92;5907,87
5855,16;5952,84
5870,88;5950,59
5898,48;5965,06
5897,79;5993,25
5882,38;5999,41
5902,79;5991,73
5911,86;5991,25
5932,31;6007,46
5947,11;5990,06
5973,14;6036,27
5912,26;5972,18
5890,63;5935,68
5914,78;5959,22
5984,19;6015,25
5970,08;5964,57
6024,05;6024,28
6013,85;6004,69
6029,20;6044,09
6031,39;6045,65
5952,92;6026,11
