Jahr;    Horstpaare;   Geburten;    nichtehelich
1958;    998       ;   1175870 ;     95492 
1965;    794       ;   1325386 ;     76543 
1971;    553       ;   1013396 ;     80769 
1972;    564       ;    901657 ;     74885 
1973;    423       ;    815969 ;     68040 
1974;    484       ;    805500 ;     68455 
1975;    458       ;    782310 ;     66114 
1976;    441       ;    798334 ;     69947 
1977;    443       ;    805496 ;     72851 
1978;    482       ;    808619 ;     80397 
1979;    450       ;    817217 ;     87590 
1980;    414       ;    865789 ;    102921 
1981;    445       ;    862100 ;    110115 
1982;    365       ;    861275 ;    123066 
1983;    359       ;    827933 ;    127345 
1984;    318       ;    812292 ;    129545 
1985;    266       ;    813803 ;    132032 
1986;    283       ;    848232 ;    136332 
1987;    257       ;    867969 ;    136462 
1988;    248       ;    892993 ;    140106 
1989;    297       ;    880459 ;    136582 
1990;    310       ;    905675 ;    138755 
1991;    270       ;    830019 ;    125187 
1992;    288       ;    809114 ;    120448 
1993;    353       ;    798447 ;    118284 
1994;    369       ;    769603 ;    118460 
1995;    347       ;    765221 ;    122876 
1996;    355       ;    796013 ;    135700 
1997;    313       ;    812173 ;    145833 
1998;    353       ;    785034 ;    157117 
1999;    339       ;    770744 ;    170634 
2000;    361       ;    766999 ;    179574 
2001;    353       ;    734475 ;    183816 
2002;    356       ;    719250 ;    187961 
2003;    387       ;    706721 ;    190641 
2004;    411       ;    705622 ;    197129 
