"HPrice07" "HHIncome07" "Unemploy07"
140075.308372797 1419.4 5.4
178974.404303338 1466.4 7.4
173049.282002113 1517.6 7.8
147271.94851313 1473.2 6.4
178654.065615528 1502 6
152717.646983603 1531 6.4
239565.900383142 1406.8 8.5
152560.836100201 1509.3 4.7
149221.59583745 1437.8 5.1
142234.731907151 1441.4 6.2
194340.291207922 1505.4 4.3
201789.61038961 1454.7 9.5
205484.084033613 1356.6 12.9
237970.588235294 1494.5 7
219006.849315069 1316.5 11.5
275212.113144759 1474.4 7.9
234791.358024691 1595.5 7.3
158318.84057971 1423.5 17
265621.592592593 1553.6 8.3
224814.332247557 1382.1 10.1
167930.580357143 1361.9 10.5
190765.015610695 1505 6.7
216746.687626274 1595.4 5.4
179219.626637655 1401.7 7.8
218318.742574142 1480 5.7
186142.688280978 1405.8 7
130969.467741103 1363.1 8.4
213335.572389509 1499.2 5.7
239334.184104888 1628.2 5.1
228610.798858109 1759.9 5.6
158890.918551677 1462.5 6.4
327289.994623656 1839.3 7.3
308686.700234018 1753.1 5.4
300439.195224606 1809.7 4.6
242804.535507656 1689.5 5.6
298379.474759574 1812.1 4.7
282831.063616569 1784.3 5.2
229074.873096447 2118.7 7.8
230930.756161044 1624.5 5.3
197717.381011825 1695.1 4
184595.583595582 1509.9 4.5
175225.955686728 1520.7 5.4
196031.021633831 1619.2 6.4
212369.774515166 1620.2 5.3
252850.900900901 2027.9 7.4
297538.815864023 1684.4 8
257238.772843637 1655.8 5.1
229401.906432533 1622.4 4.6
245599.431818182 1743.2 7.6
254340.798611111 1458.4 9.3
169927.344635598 1460.6 5.6
252877.481682758 1684.2 5.3
263942.612826603 1692.3 9.1
230237.584151188 1622.5 5.3
253508.462791362 1753.5 4.1
220568.290601899 1664.3 4.8
295428.571428571 1495.4 8.8
250750.213408074 1695.5 4.7
250373.177449957 1576.7 4.3
219505.434088912 1636.8 5.3
183332.109925202 1717.7 4.4
208814.6028064 1735.5 5.3
195511.165239758 1766.5 4.4
265342.764835368 1620.2 6
241066.287757546 1614.8 6.1
213230.987716097 1584.3 5.5
250375.225915949 1724.5 4.8
280095.282277551 1604.2 5.5
178119.504583829 1735.5 6.6
225307.881773399 1840.7 6.6
201462.546906876 1583.7 3.8
199327.048325799 1532.1 3.4
271621.008920488 1710.7 4.3
239240.942366542 1636.5 4.1
186947.409973881 1506.2 5.7
304752.066115703 1519.8 5.9
399042.301184433 1883.8 7.1
211556.277665996 1926.1 8.3
203585.419503528 1552.1 6.1
272106.27922966 1533.5 5.4
349738.898776363 1828.8 4.7
319402.357944206 1738.6 4.2
373293.932800753 1840.6 4
244615.457388725 1507.2 2.4
286785.670206956 1619.1 3.6
292716.964849626 1623.2 3.7
356387.901578281 1790.9 4.8
363279.758305611 1679.9 5.4
283084.224759217 1624.6 4.8
376168.188506405 1893.3 5.1
214700.616827238 1583.7 6.6
442684.713572295 2060.5 4.2
221968.315627653 1526.8 3.8
256974.800810682 1645.1 3.3
260207.342993458 1668.9 4.7
429790.57475593 2397 4.1
248458.561729527 1603.5 4.5
292522.726379503 1660 4.9
255276.162790698 1659.6 7.2
186013.286713287 1588.4 9.5
190117.80104712 1646.6 9.3
180895.139270268 1430.2 6.2
133775.479128164 1349.4 7.1
197983.532987429 1545.4 4.9
212109.150673403 1560 3.7
167098.089485254 1444.2 6.6
129719.889715737 1371.4 6.7
178918.415698359 1510.8 5.6
175889.849722316 1449 5
182995.840311342 1537.7 4
189731.463414634 1500.7 10.7
280506.996197719 1584 8.1
186423.076923077 1569.7 12.5
176721.464688966 1392.1 6.5
155693.11525566 1398.8 5.7
203015.170642467 1542.5 4.7
165232.000356215 1442.7 6.6
223916.084233175 1553.3 4.2
167634.573732456 1432.1 6.2
145461.949987257 1399.6 8
261965.217391304 1552.1 9.4
231776.068376068 1603.2 9.8
177840 1758.6 11.8
167026.169642857 1481.3 12.5
192918.238561159 1491.5 5.8
171869.529929188 1457.7 6.6
161350.917195674 1649.5 7.7
232211.861558715 1582 6
138984.30929457 1596.9 8.4
132750.213416963 1716.2 7.4
166032.192107953 1565.3 9.2
175733.802764405 1508.8 8.7
135894.230969627 1480 9.9
198245.161290323 1592.7 7.6
270594.026548673 1623.6 6
264936.143039591 1845.3 10.5
268835.554398751 1549.4 11.1
256050.540540541 1688.9 7.5
174039.003224173 1462.3 5.3
246480.021131462 1855.9 3.7
240385.492621093 1698 5.9
239422.813387013 1793.9 5.4
178680.877657343 1485.8 4.8
220836.129273082 1605.2 4.9
187511.573513963 1506.3 6.4
245283.678756477 1686.9 8.4
218087.837837838 1462.7 9.7
248875.194974004 1610.9 8.1
231840.567507885 1664.2 4.8
152367.863499218 1489.4 6.9
146840.903609131 1438.3 6.5
177767.762717434 1429.5 5.7
201331.916751014 1676.2 5.2
214295.631111022 1570.2 5.9
173935.961901362 1512.8 4
186262.177380974 1465.3 4.5
221343.903360832 1536.4 4
252990.554899646 1422.9 10.5
220724.358974359 1611.8 8.3
231870.512820513 1679.6 6.3
228778.761061947 1782.8 5.7
234459.346422416 1705.7 4.6
231713.893711445 1660.6 4.8
171514.009853111 1659.2 4.5
181254.130562688 1584.9 5.1
219594.908682183 1633.3 4.8
267600.035629956 1642.9 4.5
227305.800004267 1557.4 4.1
202751.145482227 1677.5 3.6
162994.704142729 1684.7 4.1
264055.710450682 1598.7 4.7
165565.871157426 1477.7 12.6
168551.516710655 1337.5 7.3
147777.407378682 1457.5 9.4
163320.068676069 1383.4 7.7
160972.677921744 1639.2 7.2
138962.068563826 1966.9 5.7
203003.467749926 1278.5 17.9
145714.285714286 1236.3 20.1
135459.061068702 1294.3 18.8
142957.627118644 1242.1 17.8
210035.663338088 1325.7 10.9
156019.640330022 1300.3 16.2
155067.459969424 1348.3 11.9
94892.4674562831 1250.3 21.9
158726.775619066 1266.2 14.6
151690.866886015 1298.1 16.3
158530.654738965 1330.3 15.7
127115.830817404 1255.5 21.9
146961.279815874 1292.1 16.3
130437.010053399 1223.3 20.8
168252.808272048 1409.9 10.8
104618.725201455 1263.7 19.6
121896.746266771 1271.3 17.6
149786.849972261 1342 13.2
122366.379794144 1182.8 24.2
157435.838926175 1223.7 18.7
145507.084745763 1268.6 19.5
177951.807228916 1205.4 17.4
165240.716783217 1267.5 17.6
156984.375 1190.6 20.7
146041.666666667 1191.1 19.3
163642.47357529 1257.2 12.9
104438.947284364 1159.6 24.2
120824.323694499 1187.8 20.4
127705.840859612 1282.8 12.4
135048.380268505 1337.9 20.8
132635.907718705 1194.4 17.9
143680.097603692 1178.4 20.2
152645.648607087 1215.2 14.3
137301.081048165 1141.2 21.5
119494.910153444 1273.7 16.3
169440.95176968 1189.7 17.6
95093.156635594 1117.1 23.6
149554.554707379 1338 16.4
123112.474777378 1280.3 15.3
118992.268646269 1290.6 14.5
124297.855178859 1243.4 16.5
140977.704040248 1284.8 16.7
179977.6898017 1299.3 14.1
127946.271375593 1217.8 21.1
140342.320638334 1267.1 16.4
139118.485657908 1295.4 14.9
136831.025796623 1305.3 14.8
153319.488074462 1220.7 19
134071.423060868 1303.2 16.4
127148.17661133 1265.9 17.3
134192.924187726 1223.9 17
117297.925337655 1198.8 18.8
104578.242579532 1237.4 16
148970.765661253 1168.3 18
113486.718374143 1244.9 20.5
131171.375067299 1238.4 15.7
96359.6306197853 1219 22.4
149437.5 1206.1 17
112143.460860145 1210.7 16.2
116387.90878181 1283.1 14.9
120853.555229673 1282 12.3
114937.483958953 1179.5 21.1
109651.655494954 1186.8 18.2
118205.781329098 1255.9 17.1
159959.192439863 1237.5 15.9
149763.64379085 1258.1 17.6
180039.802631579 1194.4 11.6
146581.081081081 1449.4 13.8
158547.169811321 1127.9 16.5
147110.4 1274.6 13.1
123214.673517525 1181.9 11.9
109087.958058837 1209.8 17.9
120144.230574373 1380.2 11
127359.487877689 1193.3 15.9
97231.2612906135 1140.1 22.3
123401.752081748 1252 12.1
134024.294067106 1241.6 12.4
128356.865389348 1241.8 17.5
116996.161815444 1253.6 10.3
135312.569358278 1186.4 15.6
136586.598948969 1190.2 13.7
121940.315144274 1336.9 10.1
124753.685777228 1220.7 14
137737.825490075 1261.4 12.2
129650.332929836 1266 12
134567.820334082 1309.5 14.4
109010.086691883 1234.9 19.9
