"HPrice07" "HHIncome07" "Unemploy07"
164639.423076923 1246.2 13.7
176567.034700316 1292.1 13.9
185002.965599051 1407.6 14.6
149360.36036036 1328.3 13
130959.015698942 1411.5 11.4
188567.724707546 1560.9 8.1
186766.818097991 1407 9.9
179156.006678307 1467.3 10.1
180027.384518556 1432.3 8.5
168873.450839477 1491.9 7.3
143559.127922735 1422.2 11
188237.091950431 1532.9 6.9
152446.722177359 1418.3 8.4
223911.897025294 1793.4 5.5
264299.368825467 1947.2 10.5
181058.841761827 1524.2 11.6
168599.062992126 1349.6 12.6
169989.262295082 1532 9.8
156727.910680323 1412.3 9.7
161830.158570043 1434.2 12.8
135522.667940251 1479.9 11.6
144260.548030677 1475.9 12.2
141084.969086221 1425.2 10.3
130257.239297094 1482.9 12.4
152785.340922483 1410.4 10.2
160782.937840764 1455.1 8.8
190015.369552394 1553.5 11
159649.487081984 1546.9 7.1
146753.4375972 1444.2 12.2
161213.540894312 1451.5 9.8
128278.717153989 1440.4 11.8
212756.6376235 1625.9 7.7
134999.568248702 1390.1 9.3
150188.31332141 1503 10.6
146583.709019008 1684 10.7
140803.671581943 1423.1 10.2
198390.962958172 1824.7 6.7
115917.454184455 1371 14.8
178183.751218112 1431.1 9.5
153923.586264706 1553.1 7.6
140713.966090203 1424.5 7.8
150767.405518659 1406.4 10.9
165122.668348 1564.2 9.3
132293.704776981 1404.4 11.4
161283.862376797 1653.4 7.7
157025.641025641 1425.9 13.1
130070.821529745 1395.9 14.3
168445.109070034 1468.7 12.2
185988.95021645 1538.3 10.2
147037.356321839 1348.7 14.7
151253.130316409 1495.3 8.6
124846.356424415 1272.7 12.1
130709.852764237 1321 8.3
148463.608371692 1303.9 6.8
142567.847813764 1358.4 9.7
157783.121546954 1305.7 6.7
130245.748423586 1277.5 11.2
159976.401078524 1498.1 7.6
159116.695572666 1505.5 6.2
139120.497463715 1561.9 5.7
124199.363226062 1384.3 10.2
132402.968893501 1297.3 11.4
168990.469858156 1761.9 12.7
129478.971962617 1524.7 20.2
263011.672308734 1837.9 11.9
208044.10585405 1310.2 15.5
235057.763401109 1549.7 14.9
235625.423728814 1549.4 13.2
217007.246376812 1633.8 15
250000 1766.1 11.2
215130.651447662 1362.1 15.1
227787.301587302 1788 10.6
230051.783659379 1823.6 10.2
229008.417508418 1674.1 13.7
185810.359688759 1479.5 7.7
265721.40428206 1867.6 8.3
248244.596805569 1827.1 8.3
214263.683624118 1651.9 8.2
212977.245044439 1527.5 9.2
239582.465277778 1512.5 13.5
245012.46882793 1644.7 9.3
259010.721944246 1654.2 13.1
249062.735257215 1501.6 12.1
191624.532633155 1483.7 11.6
173587.576216588 1477 10.4
226204.585520447 1578.5 10
170416.816902881 1502.1 7.7
179968.499710378 1422.3 10.7
177366.253463052 1688.4 8
254682.237943795 1873.7 9
213191.403382247 1639.1 7.5
220575.079872204 1448.9 11.8
200150.462962963 1302 18.2
232688.700564972 1763.8 7.9
174232.342651296 1517.4 6.5
195934.099445791 1589 5.6
212607.530436909 1456.3 13.2
164541.824484746 1515.4 6.1
185468.887580628 1595.9 7.1
198016.454352442 1695.6 11.8
196428.988015379 1813.1 6.5
170439.51349081 1730.7 8.1
147189.550477453 1503.7 8
171733.206169626 1677.6 9.7
160657.644070206 1640.1 8
194092.12075269 1446.3 9.4
230041.025641026 1478.2 12.6
227973.501159324 1408.4 15.8
213612.288828338 1590.6 13.1
184980.252764613 1307.5 12.1
198511.682242991 1332.3 15.6
240828.229773198 1829.7 9.2
156162.027454576 1721.5 7.3
186662.90811579 1894 7.8
169898.025989774 2160.7 5.5
166845.356811966 1711.3 7.4
176774.614130193 1518.8 8.9
200205.914933425 1486.6 12.2
239348.011363636 1524.3 10.2
299000 1504.2 10.9
264835.915492958 1387.9 13.9
289775.369928401 1641.1 9.5
250577.643222468 1620.4 7.9
266188.658420338 1648.9 7.3
264424.151623883 1543.5 8.7
329638.374895779 2139.9 5.2
217990.836505352 1604 7.2
319046.281919582 1848.8 5.8
196861.620049784 1485.8 7.5
288718.612858914 1711.8 7.9
238504.702365925 1713 6.2
236457.823406401 1603.6 7.4
189742.09605768 1465 11.4
168871.590954854 1660.7 8.3
169560.431338677 1477.3 8.1
162914.348810033 1377 7.2
150565.656943987 1498.9 8.4
165910.851485149 1366.6 15.6
166053.425491919 1529.2 6.7
116886.559686369 1490.2 8.6
152540.677826711 1546.7 7.6
145405.747781905 1460.1 8.3
138773.556109516 1628.2 7.9
130184.958741617 1439.7 11.2
206520.670103093 1467.6 10
175214.046863332 1506.8 6.1
131849.227088803 1406.9 7.6
163336.706378488 1522.9 8.6
123571.312270696 1462.9 8.8
